MtrunA17CPg0492181	NAD(P)H-quinone oxidoreductase subunit 5
MtrunA17Chr5g0408511	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0408521	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0408531	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0408541	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0408551	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0408561	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0408571	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0408581	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0408591	Putative PRONE domain-containing protein
MtrunA17Chr5g0408601	Putative bystin
MtrunA17Chr5g0408611	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0408621	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0408631	Putative tRNA (carboxymethyluridine(34)-5-O)-methyltransferase
MtrunA17Chr5g0408641	Putative DNA-directed RNA polymerase III subunit Rpc5
MtrunA17Chr5g0408651	Putative DNA-directed RNA polymerase III subunit Rpc5
MtrunA17Chr5g0408661	hypothetical protein
MtrunA17Chr5g0408671	Putative Late nodulin
MtrunA17Chr5g0408681	Putative Late nodulin
MtrunA17Chr5g0408691	hypothetical protein
MtrunA17Chr5g0408701	hypothetical protein
MtrunA17Chr5g0408711	Putative Late nodulin
MtrunA17Chr5g0408721	Putative transcription factor C2H2 family
MtrunA17Chr5g0408741	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0408751	hypothetical protein
MtrunA17Chr5g0408761	Putative transcription factor interactor and regulator CCHC(Zn) family
MtrunA17Chr5g0408771	Putative RNA-directed DNA polymerase
MtrunA17Chr5g0408781	Putative ribonuclease H-like domain, reverse transcriptase zinc-binding domain-containing protein
MtrunA17Chr5g0408791	hypothetical protein
MtrunA17Chr5g0408801	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0408811	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0408821	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0408831	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0408841	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0408851	Putative beta-amylase transcription factor BES/BZR family
MtrunA17Chr5g0408871	Putative transcription factor C2H2 family
MtrunA17Chr5g0408881	Putative pectinacetylesterase/NOTUM
MtrunA17Chr5g0408891	Putative poly(A)-specific ribonuclease
MtrunA17Chr5g0408901	hypothetical protein
MtrunA17Chr5g0408911	Putative transferase
MtrunA17Chr5g0408921	Putative major facilitator superfamily domain-containing protein
MtrunA17Chr5g0408931	Putative phosphatidylinositol alpha-mannosyltransferase
MtrunA17Chr5g0408941	Putative protein kinase RLK-Pelle-RLCK-VIIa-2 family
MtrunA17Chr5g0408951	hypothetical protein
MtrunA17Chr5g0408961	hypothetical protein
MtrunA17Chr5g0408971	Putative SH3 domain, AH domain-containing protein
MtrunA17Chr5g0408981	Putative hydroxymethylglutaryl-CoA reductase (NADPH)
MtrunA17Chr5g0408991	Putative hydroxymethylglutaryl-CoA reductase (NADPH)
MtrunA17Chr5g0409001	Putative hydroxymethylglutaryl-CoA reductase (NADPH)
MtrunA17Chr5g0409011	Putative hydroxymethylglutaryl-CoA reductase (NADPH)
MtrunA17Chr5g0409021	Putative hydroxymethylglutaryl-CoA reductase (NADPH)
MtrunA17Chr5g0409031	Putative hydroxymethylglutaryl-CoA reductase (NADPH)
MtrunA17Chr5g0409041	Putative protein kinase RLK-Pelle-LRR-XIIIa family
MtrunA17Chr5g0409051	Putative cytochrome P450
MtrunA17Chr5g0409061	Putative transcription factor C2H2 family
MtrunA17Chr5g0409071	Putative transcription factor MYB family
MtrunA17Chr5g0409081	Putative ankyrin repeat-containing domain-containing protein
MtrunA17Chr5g0409091	Putative galactose oxidase, beta-propeller
MtrunA17Chr5g0409101	Putative DNA helicase
MtrunA17Chr5g0409111	Putative alpha-glucosidase
MtrunA17Chr5g0409121	Putative ubiquinol oxidase (non-electrogenic)
MtrunA17Chr5g0409131	hypothetical protein
MtrunA17Chr5g0409141	Putative sodium/solute symporter
MtrunA17Chr5g0409151	Putative formin, FH2 domain-containing protein
MtrunA17Chr5g0409161	hypothetical protein
MtrunA17Chr5g0409171	Putative C2 domain, formin, FH2 domain, protein-tyrosine phosphatase
MtrunA17Chr5g0409181	Putative chromatin remodeler Bromodomain family
MtrunA17Chr5g0409191	hypothetical protein
MtrunA17Chr5g0409201	Putative transcription factor C2H2 family
MtrunA17Chr5g0409211	Putative chromatin regulator PHD family
MtrunA17Chr5g0409221	Putative FERM/acyl-CoA-binding protein, 3-helical bundle
MtrunA17Chr5g0409231	Putative ribosomal protein L13e
MtrunA17Chr5g0409241	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr5g0409251	Putative amino acid/polyamine transporter I
MtrunA17Chr5g0409261	hypothetical protein
MtrunA17Chr5g0409271	Putative ankyrin repeat-containing domain-containing protein
MtrunA17Chr5g0409281	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr5g0409291	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr5g0409301	hypothetical protein
MtrunA17Chr5g0409311	Putative endopeptidase Clp
MtrunA17Chr5g0409321	hypothetical protein
MtrunA17Chr5g0409341	hypothetical protein
MtrunA17Chr5g0409351	hypothetical protein
MtrunA17Chr5g0409361	Putative nucleic acid-binding protein
MtrunA17Chr5g0409371	Putative nucleic acid-binding protein
MtrunA17Chr5g0409381	Putative transcription factor interactor and regulator CCHC(Zn) family
MtrunA17Chr5g0409391	Putative winged helix-turn-helix DNA-binding domain, CDT1 Geminin-binding domain-containing protein
MtrunA17Chr5g0409401	hypothetical protein
MtrunA17Chr5g0409411	Putative sterol 24-C-methyltransferase
MtrunA17Chr5g0409421	Putative protein-serine/threonine kinase CMGC-RCK family
MtrunA17Chr5g0409431	Putative brevis radix (BRX) domain-containing protein
MtrunA17Chr5g0409441	Putative EF-hand domain pair protein
MtrunA17Chr5g0409451	hypothetical protein
MtrunA17Chr5g0409461	Putative histone-lysine N-methyltransferase chromatin remodeling SET family
MtrunA17Chr5g0409471	Putative transcription factor interactor and regulator C3H-WRC/GRF family
MtrunA17Chr5g0409481	hypothetical protein
MtrunA17Chr5g0409491	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr5g0409501	hypothetical protein
MtrunA17Chr5g0409511	hypothetical protein
MtrunA17Chr5g0409521	hypothetical protein
MtrunA17Chr5g0409531	hypothetical protein
MtrunA17Chr5g0409541	hypothetical protein
MtrunA17Chr5g0409551	hypothetical protein
MtrunA17Chr5g0409561	Putative MOB kinase activator family
MtrunA17Chr5g0409571	hypothetical protein
MtrunA17Chr5g0409581	Putative protein ENHANCED DISEASE RESISTANCE 2, PH domain, START
MtrunA17Chr5g0409591	Putative hexosyltransferase
MtrunA17Chr5g0409601	hypothetical protein
MtrunA17Chr5g0409611	Putative non-heme dioxygenase domain, isopenicillin N synthase
MtrunA17Chr5g0409621	Putative gibberellin 3-beta-dioxygenase
MtrunA17Chr5g0409631	Putative gibberellin 2-beta-dioxygenase
MtrunA17Chr5g0409641	Isoflavone reductase 
MtrunA17Chr5g0409651	Putative oxidoreductase
MtrunA17Chr5g0409661	Putative F-box domain, galactose oxidase/kelch, beta-propeller, kelch-type beta propeller
MtrunA17Chr5g0409671	hypothetical protein
MtrunA17Chr5g0409681	Putative DNA repair Rad51/transcription factor NusA, alpha-helical
MtrunA17Chr5g0409691	hypothetical protein
MtrunA17Chr5g0409701	Putative F-box domain, galactose oxidase/kelch, beta-propeller, kelch-type beta propeller
MtrunA17Chr5g0409721	Putative DNA repair Rad51/transcription factor NusA, alpha-helical
MtrunA17Chr5g0409731	Putative sterol 14-alpha-demethylase transcription factor MYB-HB-like family
MtrunA17Chr5g0409741	Putative major facilitator superfamily domain-containing protein
MtrunA17Chr5g0409751	hypothetical protein
MtrunA17Chr5g0409761	Putative ribosomal protein L35
MtrunA17Chr5g0409771	Putative AMP-dependent synthetase/ligase, AMP-binding enzyme domain-containing protein
MtrunA17Chr5g0409781	putative transposase, Ptta/En/Spm, plant
MtrunA17Chr5g0409791	Putative AMP-dependent synthetase/ligase, AMP-binding enzyme domain-containing protein
MtrunA17Chr5g0409801	Putative calcium-dependent channel, 7TM region phosphate
MtrunA17Chr5g0409811	hypothetical protein
MtrunA17Chr5g0409821	Putative phosphoribulokinase
MtrunA17Chr5g0409831	Putative transcription factor MYB-HB-like family
MtrunA17Chr5g0409841	Putative transcription factor MYB-HB-like family
MtrunA17Chr5g0409851	Putative ribosomal protein S13
MtrunA17Chr5g0409861	Putative ribosomal protein S13
MtrunA17Chr5g0409871	Putative ribosomal protein S13
MtrunA17Chr5g0409881	Putative ribosomal protein S13
MtrunA17Chr5g0409891	Putative ribosomal protein S13
MtrunA17Chr5g0409901	Putative ribosomal protein S13
MtrunA17Chr5g0409911	Putative ribosomal protein S13
MtrunA17Chr5g0409921	Putative ribosomal protein S13
MtrunA17Chr5g0409931	Putative ribosomal protein S13
MtrunA17Chr5g0409941	hypothetical protein
MtrunA17Chr5g0409951	hypothetical protein
MtrunA17Chr5g0409961	hypothetical protein
MtrunA17Chr5g0409971	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr5g0409981	Putative RNA helicase
MtrunA17Chr5g0409991	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr5g0410001	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr5g0410011	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr5g0410021	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr5g0410031	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr5g0410041	hypothetical protein
MtrunA17Chr5g0410051	hypothetical protein
MtrunA17Chr5g0410061	hypothetical protein
MtrunA17Chr5g0410071	Putative proteasome component (PCI) domain-containing protein
MtrunA17Chr5g0410081	Putative guanine nucleotide binding protein (G-protein), alpha subunit
MtrunA17Chr5g0410091	Putative DYW domain-containing protein
MtrunA17Chr5g0410101	Putative ESCRT-II complex, vps25 subunit, winged helix-turn-helix DNA-binding protein
MtrunA17Chr5g0410111	hypothetical protein
MtrunA17Chr5g0410121	hypothetical protein
MtrunA17Chr5g0410131	hypothetical protein
MtrunA17Chr5g0410141	Putative transcription regulator IWS1 family
MtrunA17Chr5g0410161	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr5g0410171	Putative ankyrin repeat-containing domain, PGG domain, gag-polypeptide of LTR copia-type
MtrunA17Chr5g0410181	Putative PGG domain-containing protein
MtrunA17Chr5g0410191	Putative PGG domain-containing protein
MtrunA17Chr5g0410201	Putative PGG domain-containing protein
MtrunA17Chr5g0410211	Putative ankyrin repeat-containing domain-containing protein
MtrunA17Chr5g0410251	hypothetical protein
MtrunA17Chr5g0410261	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr5g0410271	Putative PGG domain-containing protein
MtrunA17Chr5g0410281	hypothetical protein
MtrunA17Chr5g0410291	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0410301	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr5g0410311	Putative eukaryotic rRNA processing
MtrunA17Chr5g0410321	Putative aspartate--tRNA ligase
MtrunA17Chr5g0410331	Putative alpha/Beta hydrolase
MtrunA17Chr5g0410341	Putative ankyrin repeat-containing domain, PGG domain-containing protein
MtrunA17Chr5g0410351	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr5g0410361	Putative microtubule-associated protein, MAP65/Ase1/PRC1
MtrunA17Chr5g0410371	Putative PGG domain-containing protein
MtrunA17Chr5g0410381	Putative ankyrin repeat-containing domain-containing protein
MtrunA17Chr5g0410391	hypothetical protein
MtrunA17Chr5g0410401	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr5g0410411	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0410421	hypothetical protein
MtrunA17Chr5g0410441	hypothetical protein
MtrunA17Chr5g0410451	Putative PGG domain-containing protein
MtrunA17Chr5g0410461	Putative PGG domain-containing protein
MtrunA17Chr5g0410471	Putative ankyrin repeat-containing domain-containing protein
MtrunA17Chr5g0410481	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr5g0410491	hypothetical protein
MtrunA17Chr5g0410501	Putative ankyrin repeat-containing domain-containing protein
MtrunA17Chr5g0410511	Putative PGG domain-containing protein
MtrunA17Chr5g0410531	Putative transcription factor bZIP family
MtrunA17Chr5g0410541	Putative PGG domain-containing protein
MtrunA17Chr5g0410551	hypothetical protein
MtrunA17Chr5g0410561	Putative ankyrin repeat-containing domain-containing protein
MtrunA17Chr5g0410581	Putative ankyrin repeat-containing domain, PGG domain-containing protein
MtrunA17Chr5g0410601	hypothetical protein
MtrunA17Chr5g0410611	hypothetical protein
MtrunA17Chr5g0410621	Putative xyloglucan:xyloglucosyl transferase
MtrunA17Chr5g0410631	hypothetical protein
MtrunA17Chr5g0410641	Putative 1,4-beta-D-xylan synthase
MtrunA17Chr5g0410651	Putative alpha/Beta hydrolase
MtrunA17Chr5g0410661	Glycerol-3-phosphate acyltransferase
MtrunA17Chr5g0410671	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1
MtrunA17Chr5g0410681	Putative NAD(P)-binding domain-containing protein
MtrunA17Chr5g0410691	hypothetical protein
MtrunA17Chr5g0410701	Putative survival motor neuron
MtrunA17Chr5g0410711	Putative transcription factor & lipid binding HD-SAD family
MtrunA17Chr5g0410721	Putative [Histone H3]-lysine-36 demethylase
MtrunA17Chr5g0410741	Putative transcription factor MYB-HB-like family
MtrunA17Chr5g0410751	hypothetical protein
MtrunA17Chr5g0410761	hypothetical protein
MtrunA17Chr5g0410771	Putative HSP20-like chaperone, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr5g0410781	Putative poly(ADP-ribose) polymerase, catalytic domain-containing protein
MtrunA17Chr5g0410791	Plastoglobulin-1
MtrunA17Chr5g0410801	hypothetical protein
MtrunA17Chr5g0410811	hypothetical protein
MtrunA17Chr5g0410821	hypothetical protein
MtrunA17Chr5g0410831	Putative nucleotide-binding alpha-beta plait domain-containing protein
MtrunA17Chr5g0410841	hypothetical protein
MtrunA17Chr5g0410851	hypothetical protein
MtrunA17Chr5g0410861	Putative mitogen-activated protein kinase kinase STE-STE7 family
MtrunA17Chr5g0410871	Putative mitogen-activated protein kinase kinase
MtrunA17Chr5g0410881	Putative transcription factor HSF-type-DNA-binding family
MtrunA17Chr5g0410891	hypothetical protein
MtrunA17Chr5g0410901	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr5g0410911	Putative transcription factor C2H2 family
MtrunA17Chr5g0410921	Putative xenobiotic-transporting ATPase
MtrunA17Chr5g0410931	Putative transcription factor Hap3/NF-YB family
MtrunA17Chr5g0410941	Putative UDP-glucuronosyl/UDP-glucosyltransferase
MtrunA17Chr5g0410951	Putative transcription factor Hap3/NF-YB family
MtrunA17Chr5g0410961	Putative transcription factor MYB-HB-like family
MtrunA17Chr5g0411001	Putative translation protein, beta-barrel
MtrunA17Chr5g0411011	hypothetical protein
MtrunA17Chr5g0411021	hypothetical protein
MtrunA17Chr5g0411031	Putative SNARE associated golgi family protein
MtrunA17Chr5g0411041	Putative nucleotide-binding alpha-beta plait domain-containing protein
MtrunA17Chr5g0411051	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr5g0411061	hypothetical protein
MtrunA17Chr5g0411071	Putative cinnamoyl-CoA reductase
MtrunA17Chr5g0411081	Putative transcription factor C2H2 family
MtrunA17Chr5g0411091	Putative nucleotide-binding alpha-beta plait domain-containing protein
MtrunA17Chr5g0411101	Putative ent-copalyl diphosphate synthase
MtrunA17Chr5g0411111	Putative ent-copalyl diphosphate synthase
MtrunA17Chr5g0411121	Putative ent-copalyl diphosphate synthase
MtrunA17Chr5g0411131	Putative tetraspanin/Peripherin
MtrunA17Chr5g0411141	Putative nucleic acid-binding protein
MtrunA17Chr5g0411151	Putative transcription repressor PLATZ family
MtrunA17Chr5g0411161	hypothetical protein
MtrunA17Chr5g0411181	Putative DNA-directed RNA polymerase
MtrunA17Chr5g0411191	hypothetical protein
MtrunA17Chr5g0411201	hypothetical protein
MtrunA17Chr5g0411221	Putative gamma-glutamylcyclotransferase
MtrunA17Chr5g0411231	hypothetical protein
MtrunA17Chr5g0411241	hypothetical protein
MtrunA17Chr5g0411251	hypothetical protein
MtrunA17Chr5g0411261	hypothetical protein
MtrunA17Chr5g0411271	Putative ubiquitinyl hydrolase 1
MtrunA17Chr5g0411281	hypothetical protein
MtrunA17Chr5g0411291	Putative RNA-directed DNA polymerase
MtrunA17Chr5g0411301	Putative non-specific serine/threonine protein kinase
MtrunA17Chr5g0411311	Putative leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr5g0411321	hypothetical protein
MtrunA17Chr5g0411331	Putative transcription factor MYC/MYB
MtrunA17Chr5g0411341	Putative transcription factor bHLH family
MtrunA17Chr5g0411351	hypothetical protein
MtrunA17Chr5g0411361	hypothetical protein
MtrunA17Chr5g0411381	Putative encoded peptide
MtrunA17Chr5g0411391	Putative polyketide cyclase/dehydrase, START-like domain-containing protein
MtrunA17Chr5g0411401	hypothetical protein
MtrunA17Chr5g0411411	Putative mitochondrial carrier domain-containing protein
MtrunA17Chr5g0411421	hypothetical protein
MtrunA17Chr5g0411431	Putative major facilitator superfamily
MtrunA17Chr5g0411441	Putative starch synthase
MtrunA17Chr5g0411461	Putative IQ motif, EF-hand binding, chromatin SPT2
MtrunA17Chr5g0411471	Putative carboxy-lyase
MtrunA17Chr5g0411481	hypothetical protein
MtrunA17Chr5g0411491	Putative chromatin regulator PHD family
MtrunA17Chr5g0411501	Putative transcription factor interactor and regulator AUX-IAA family
MtrunA17Chr5g0411511	hypothetical protein
MtrunA17Chr5g0411521	Putative Homeobox domain-containing protein
